X,Y,OBJECTID,NAME,ALIAS1,ALIAS2,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,JURISDICTION,RESTROOMS,Lat,Lon,Notes,ObjectID_1,GlobalID,CreationDate,Creator,EditDate,Editor,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN
-78.686232967108197,35.853886722943315,11,Brookhaven Nature Park,,,"5125 Berkeley St, Raleigh, NC","5125 Berkeley St, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6856,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,City of Raleigh,No,35.85387963,-78.68623034,,,1e0178de-03d3-4794-8934-23fa58082c59,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.537284840760833,35.838369304922544,12,Buffaloe Road Athletic Park,Buffaloe Road Aquatic Center,,"5900 Buffaloe Rd, Raleigh, NC","5900 Buffaloe Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BuffaloeRoadAthleticPark.html,919-831-6836,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,City of Raleigh,Yes,35.83836221,-78.53728226,,,ec312677-652e-4691-a96e-6b7d52322e33,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.577229588813779,35.939752125120705,13,Canoe Launch at Falls Lake,,,"12028 Falls of Neuse Rd, Raleigh, NC","12028 Falls of Neuse Rd, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6610,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,City of Raleigh,No,35.93974501,-78.57722699,,,3c17e3aa-1999-413f-b049-d1c42f099b05,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.646215160630163,35.761016644070921,14,Caraleigh Park,,,"110 Maywood Ave, Raleigh, NC","110 Maywood Ave, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/CaraleighPark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,City of Raleigh,No,35.76100957,-78.64621255,,,4713ab2a-6f21-4b41-92d5-8e142f8c93a8,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.667708046250837,35.748503990789985,15,Carolina Pines Park,,,"2305 Lake Wheeler Rd, Raleigh, NC","2305 Lake Wheeler Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/CarolinaPines.html,919-831-6435,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,City of Raleigh,No,35.74849692,-78.66770543,,,bb4ec2f8-990c-46af-889d-0dacde2de1f1,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,
-78.615635712145078,35.782249139556043,16,Carver Park,Pender Street Mini Park,John Stokes Garden,"1600 Pender St, Raleigh, NC","1600 Pender St, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,City of Raleigh,No,35.78224206,-78.61563311,,,2f3b7886-473c-44d1-928a-6a828a5181fc,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.630626400251501,35.859301816359633,17,Cedar Hills Park,,,"5600 Sweetbriar Dr, Raleigh, NC","5600 Sweetbriar Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/CedarHillsPark.html,919-870-2880,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,City of Raleigh,No,35.85929472,-78.63062379,,,d386e50c-b1db-4347-bfe2-ec716cc449f7,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.664642566825066,35.792089420409845,18,Chamberlain Park,,,"500 Chamberlain St, Raleigh, NC","500 Chamberlain St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/ChamberlainPark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,City of Raleigh,No,35.79208234,-78.66463995,,,3e5f311e-b059-4f13-8207-b6eb7d6f2a93,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.630048865978765,35.76959393649738,19,John Chavis Memorial Park,,,"505 Martin Luther King Jr Blvd, Raleigh, NC","505 Martin Luther King Jr Blvd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/ChavisCommunityCenter.html,919-831-6989,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,City of Raleigh,No,35.76958686,-78.63004626,,,21a78e27-bf12-427d-a212-dcc779ad365d,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.666171347580672,35.78815739994134,20,Compiegne Park,,,"106 Chamberlain St, Raleigh, NC","106 Chamberlain St, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,City of Raleigh,No,35.78815032,-78.66616873,,,e966b256-49db-4fa0-b263-40a7cc455a76,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.601609776656304,35.762104346620319,21,Dacian Road Park,,,"566 Dacian Rd, Raleigh, NC","566 Dacian Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecParks/Articles/PlaygroundDacianRoad.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,City of Raleigh,No,35.76209727,-78.60160718,,,20580d4a-a8ed-4276-b4f5-d28283e9c876,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.624330924845623,35.77497130845677,22,Davie Street Park,,,"908 East Davie St, Raleigh, NC","908 East Davie St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/DavieStreetPark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,City of Raleigh,No,35.77496423,-78.62432832,,,b5ab95b2-77bf-44db-8cbf-4f1aa5466522,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.651438986459809,35.863190555964628,23,Dixon Drive Park,,,"6100 Dixon Dr, Raleigh, NC","6100 Dixon Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecParks/Articles/PlaygroundDixonDrive.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,City of Raleigh,No,35.86318346,-78.65143637,,,cba0d6ba-f2a9-4bbb-a982-efbcfa7a3628,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.660451324535458,35.773947926349067,24,Dorothea Dix Soccer Park,,,"900 S Boylan Ave, Raleigh, NC","900 S Boylan Ave, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6640,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,City of Raleigh,No,35.77394085,-78.66044871,,,ec2b65f5-4dd8-4100-a154-6ca63a900aa1,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.578746316670504,35.894712875562767,25,Durant Nature Preserve,,,"8305 Camp Durant Rd, Raleigh, NC","8305 Camp Durant Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/DurantNaturePark.html,919-870-2871,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,City of Raleigh,Yes,35.89470577,-78.57874372,,,35c3d991-829d-425c-bcd5-0dbfdb86ab06,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,
-78.62311227768167,35.839523811754702,26,Eastgate Park,,,"4200 Quail Hollow Dr, Raleigh, NC","4200 Quail Hollow Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/EastgateParkAndCenter.html,919-872-4156,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,City of Raleigh,Yes,35.83951672,-78.62310967,,,bb8d16a3-c6e8-4576-b378-495af41dce70,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.655227324486333,35.788083670212693,27,Edna Metz Wells Park,,,"1600 Park Dr, Raleigh, NC","1600 Park Dr, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,City of Raleigh,No,35.78807659,-78.65522471,,,1e9fb12a-7e11-4d59-ac41-fa7381a0ee83,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.642968919231308,35.759218563931768,28,Eliza Pool Park,,,"1600 Fayetteville St, Raleigh, NC","1600 Fayetteville St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecParks/Articles/PlaygroundElizaPool.html,919-831-6640,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,City of Raleigh,No,35.75921149,-78.64296631,,,7b4233b9-8d77-4ee7-b50e-e664ac7731e3,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,
-78.636628509559017,35.815730996132231,29,Fallon Park,,,"2601 Oxford Rd, Raleigh, NC","2601 Oxford Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/FallonPark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,City of Raleigh,No,35.81572391,-78.6366259,,,128f0723-5cf2-48ec-bc8d-9cd9f740aec8,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.614536151322355,35.783579630578132,30,Fisher Street Park,,,"324 N Fisher St, Raleigh, NC","324 N Fisher St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/FisherStreetPark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,City of Raleigh,No,35.78357255,-78.61453355,,,49372f57-341e-4361-9cb4-609778ccd729,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.649622203040934,35.792839820590807,31,Fred Fletcher Park,Borden Building,,"805 Washington St, Raleigh, NC","805 Washington St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/FletcherPark.html,919-831-6640,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,City of Raleigh,No,35.79283274,-78.64961959,,,75856265-9f88-4c01-8668-206be964c2ab,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.683526014355053,35.828338338041199,32,Glen Eden Pilot Park,,,"1500 Glen Eden Dr, Raleigh, NC","1500 Glen Eden Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/GlenEdenPilotParkAndCenter.html,919-831-6833,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,City of Raleigh,No,35.82833125,-78.68352339,,,31ed61fa-e0de-4ab4-9881-6ce1adba1446,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,
-78.591796328440566,35.840960382977535,33,Green Road Park,,,"4201 Green Rd, Raleigh, NC","4201 Green Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/GreenRoadCommunityCenter.html,919-872-4140,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,City of Raleigh,Yes,35.84095329,-78.59179373,,,2394a3de-4398-4829-b3e7-3a1d81f9c012,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,,,
-78.660223101647333,35.886826440791857,34,Greystone Recreation Center,,,"7713-55 Leadmine Rd, Raleigh, NC","7713 Leadmine Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/GreystoneRecreationCenter.html,919-996-4848,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,City of Raleigh,Yes,35.88681934,-78.66022048,,,4d14cc9e-6edb-49a4-b182-879183e0b4b1,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.638722579531759,35.793230821838577,35,Halifax Park,,,"1015 Halifax St, Raleigh, NC","1015 Halifax St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/HalifaxCommunityCenter.html,919-831-6378,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,City of Raleigh,Yes,35.79322374,-78.63871997,,,4ad431f7-4df3-4588-8328-fc4a5ed96423,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.643008057939866,35.744258300882656,36,Hertford Village Park,,,"205 Blanchard St, Raleigh, NC","205 Blanchard St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/HertfordVillagePark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,City of Raleigh,No,35.74425123,-78.64300545,,,efc4f6d5-a5a5-4338-8a4b-67bcdad68352,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.590710526103862,35.812913597032292,37,Hill Street Park,,,"2307 Hill St, Raleigh, NC","2307 Hill St, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,City of Raleigh,No,35.81290651,-78.59070793,,,d77f0fea-cd5b-4b74-97a5-69aa925edd4c,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.625588781627158,35.902870495934124,38,Honeycutt Park,,,"1032 Clear Creek Farm Rd, Raleigh, NC","1032 Clear Creek Farm Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/HoneycuttPark.html,919-872-4156,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,City of Raleigh,Yes,35.90286339,-78.62558617,,,a0461d55-250e-4066-bc3b-cfe58d82070d,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,
-78.536055753904023,35.885143094359115,39,Horseshoe Farm Nature Preserve,,,"2900 Horseshoe Farm Rd, Raleigh, NC","2900 Horseshoe Farm Rd, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,City of Raleigh,No,35.88513599,-78.53605317,,,9ad121df-956d-4e71-a0e2-71ce2be891bc,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.676730531822955,35.801726682153415,40,Hymettus Woods Park,,,"901 Dixie Trl, Raleigh, NC","901 Dixie Trl, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,City of Raleigh,No,35.8017196,-78.67672791,,,e0736a41-dc45-4a52-9d57-cfcc22a61772,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.669159208381004,35.792638960797937,41,Isabella Cannon Park,,,"2601 Kilgore Ave, Raleigh, NC","2601 Kilgore Ave, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/IsabellaCannonPark.html,919-831-6640,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,City of Raleigh,Yes,35.79263188,-78.66915659,,,3e2dcfca-68db-44a7-818c-03b0b2a0c4ac,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.663603077116548,35.799263492345531,42,Jaycee Park,,,"2405 Wade Ave, Raleigh, NC","2405 Wade Ave, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/JayceeCommunityCenter.html,919-831-6833,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,City of Raleigh,No,35.79925641,-78.66360046,,,44a08082-7b08-4fa3-8f8e-644d328f6e21,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,
