X,Y,OBJECTID,TAG,NAME,GRADELEVEL,PHONE,CALENDAR,ADDRESSNUM,ADDRESS,CITY,ZIPCODE,MAGNETPROGRAM,WEBSITE,DISTRICT,TYPE
2060991.726857483386993,747071.994236961007118,63,604,West Cary Middle,Middle,919-460-3528,Traditional,1000,Evans Rd,Cary,27513,N/A,http://www.wcpss.net/westcaryms,9,Middle School
2109036.835491478443146,780351.614029303193092,64,608,West Millbrook Middle,Middle,919-870-4050,Traditional,8115,Strickland Rd,Raleigh,27615,International Baccalaureate Programme,http://www.wcpss.net/westmillbrookms,3,Middle School
2092978.245889559388161,750679.661562293767929,65,492,Martin Middle,Middle,919-881-4970,Traditional,1701,Ridge Rd,Raleigh,27607,"Gifted and Talented grades 9-12;  IB Diploma Programme available at grades 11-12",http://www.wcpss.net/martinms,6,Magnet Middle School
2096350.915653392672539,743962.011939883232117,66,524,Olds Elementary,Elementary,919-856-7699,Traditional,204,Dixie Trl,Raleigh,27607,N/A,http://www.wcpss.net/oldses,6,Elementary Schools
2143415.524936065077782,813697.634279385209084,67,588,Wake Forest High,High,919-554-8611,Traditional,420,W Stadium Dr,Wake Forest,27587,N/A,http://www.wcpss.net/wakeforesths,1,High School
2103380.136503055691719,740847.449927553534508,68,620,Wiley Elementary,Elementary,919-856-7723,Traditional,301,St Mary's St,Raleigh,27605,International Studies,http://www.wcpss.net/wileyes,6,Magnet Elementary School
2132785.984515398740768,780551.837710216641426,69,618,Wildwood Forest Elementary,Elementary,919-713-0600,Traditional,8401,Wild Wood Forest Dr,Raleigh,27616,N/A,http://www.wcpss.net/wildwoodforestes,3,Elementary Schools
2080434.704047560691833,723528.801165968179703,70,626,Yates Mill Elementary,Elementary,919-233-4244,Traditional,5993,Yates Mill Pond Rd,Raleigh,27606,N/A,http://www.wcpss.net/yatesmilles,5,Elementary Schools
2104488.494850650429726,742532.582384049892426,71,525,Partnership Elementary,Elementary,919-856-8200,Modified,601,Devereux St,Raleigh,27605,Interactive Community,http://www.wcpss.net/partnershipes,6,Magnet Elementary School
2092487.331188976764679,730981.073334887623787,72,370,Centennial Campus Middle,Middle,919-233-4217,Modified,1900,Main Campus Dr,Raleigh,27606,University Connections and Leadership,http://www.wcpss.net/centennialms,5,Magnet Middle School
2041496.21171472966671,747277.844875127077103,73,439,Green Hope Elementary,Elementary,919-388-5270,Traditional,2700,Louis Stephens Dr,Cary,27519,N/A,http://www.wcpss.net/greenhopees,9,Elementary Schools
2144670.708449319005013,800723.484046638011932,74,444,Heritage Middle,Middle,919-562-6204,Year-Round,3400,Rogers Rd,Wake Forest,27587,N/A,http://www.wcpss.net/heritagems,1,Middle School
2108365.289918556809425,737611.324510052800179,75,506,Moore Square Middle,Middle,919-664-5737,Modified,301,S Person St,Raleigh,27601,GT/AIG/Museums,http://www.wcpss.net/mooresquarems,5,Magnet Middle School
2099212.465048402547836,786040.130867466330528,76,326,Baileywick Road Elementary,Elementary,919-518-0090,Traditional,9425,Baileywick Rd,Raleigh,27615,N/A,http://www.wcpss.net/baileywickroades,3,Elementary Schools
2071049.631938472390175,697612.708641290664673,77,495,Middle Creek High,High,919-773-3838,Traditional,123,Middle Creek Park Ave,Apex,27539,N/A,http://www.wcpss.net/middlecreekhs,5,High School
2050359.073254063725471,717166.570452123880386,78,484,Lufkin Road Middle,Middle,919-387-4465,Year-Round,1002,Lufkin Rd,Apex,27539,N/A,http://www.wcpss.net/lufkinroadms,8,Middle School
2037029.99033223092556,736155.694547295570374,79,571,Turner Creek Elementary,Elementary,919-363-1391,Year-Round,6801,Turner Creek Rd,Cary,27519,N/A,http://www.wcpss.net/turnercreekes,8,Elementary Schools
2044405.160293146967888,730243.960635885596275,80,550,Salem Elementary,Elementary,919-363-2865,Year-Round,6116,Old Jenks Rd,Apex,27523,N/A,http://www.wcpss.net/salemes,9,Elementary Schools
2045051.901125639677048,730946.369007959961891,81,551,Salem Middle,Middle,919-363-1870,Year-Round,6150,Old Jenks Rd,Apex,27523,N/A,http://www.wcpss.net/salemms,9,Middle School
2034325.602696388959885,746446.171013548970222,82,443,Highcroft Drive Elementary,Elementary,919-460-3527,Traditional,5415,Highcroft Dr,Cary,27519,N/A,http://www.wcpss.net/highcroftdrivees,8,Elementary Schools
2044270.192059144377708,737944.914722129702568,83,391,Davis Drive Middle,Middle,919-387-3033,Traditional,2101,Davis Dr,Cary,27519,N/A,http://www.wcpss.net/davisdrivems,9,Middle School
2044391.156056061387062,738843.949341386556625,84,390,Davis Drive Elementary,Elementary,919-387-2130,Traditional,2151,Davis Dr,Cary,27519,N/A,http://www.wcpss.net/davisdrivees,9,Elementary Schools
2144493.342662319540977,799786.669319212436676,85,454,Heritage Elementary,Elementary,919-562-6000,Year-Round,3500,Rogers Rd,Wake Forest,27587,N/A,http://www.wcpss.net/heritagees,1,Elementary Schools
2047577.044041231274605,759544.597900629043579,86,369,Cedar Fork Elementary,Elementary,919-388-5240,Traditional,1050,Town Hall Dr,Morrisville,27560,N/A,http://www.wcpss.net/cedarforkes,7,Elementary Schools
2032894.573406234383583,757241.376129135489464,87,526,Panther Creek High,High,919-463-8656,Traditional,6770,McCrimmon Pkwy,Cary,27519,N/A,http://www.wcpss.net/panthercreekhs,7,High School
2064855.218802392482758,739506.603199794888496,88,364,Cary Elementary,Elementary,919-460-3455,Traditional,400,Kildaire Farm Rd,Cary,27511,N/A,http://www.wcpss.net/caryes,9,Elementary Schools
2044880.032046809792519,683472.449848383665085,89,455,Holly Springs High,High,919-577-1444,Traditional,5329,Cass Holt Rd,Holly Springs,27540,N/A,http://www.wcpss.net/hollyspringshs,8,High School
2057879.486690893769264,782982.940459549427032,90,342,Brier Creek Elementary,Elementary,919-484-4747,Year-Round,9801,Brier Creek Pkwy,Raleigh,27617,N/A,http://www.wcpss.net/briercreekes,7,Elementary Schools
2122129.540277153253555,783971.758363798260689,91,399,Durant Road Middle,Middle,919-870-4098,Year-Round,10401,Durant Rd,Raleigh,27614,N/A,http://www.wcpss.net/durantroadms,3,Middle School
2055918.153999403119087,743344.112257048487663,92,598,Weatherstone Elementary,Elementary,919-380-6988,Traditional,1000,Olde Weatherstone Way,Cary,27513,N/A,http://www.wcpss.net/weatherstonees,9,Elementary Schools
2115066.392329975962639,715694.524839803576469,93,512,North Garner Middle,Middle,919-662-2434,"Year-Round, Track 4 Only",720,Powell Dr,Garner,27529,N/A,http://www.wcpss.net/northgarnerms,2,Middle School
2084768.440786898136139,773558.24999138712883,94,442,Hilburn Drive Academy,Elementary/Middle,919-571-6800,Traditional,7100,Hilburn Dr,Raleigh,27613,N/A,http://www.wcpss.net/hilburnacademy,7,Academies
2111794.490737318992615,744895.727920219302177,95,380,Conn Elementary,Elementary,919-856-7637,Traditional,1220,Brookside Dr,Raleigh,27604,Entrepreneurial Design,http://www.wcpss.net/connes,4,Magnet Elementary School
2105238.510739058256149,747222.423726126551628,96,572,Underwood Elementary,Elementary,919-856-7663,Traditional,1614,Glenwood Ave,Raleigh,27608,"Gifted and Talented grades 9-12;  IB Diploma Programme available at grades 11-12",http://www.wcpss.net/underwoodes,6,Magnet Elementary School
2083237.717142313718796,742810.096592798829079,97,508,Mount Vernon Middle-Bridges Program,Elementary/Middle,919-233-4313,Traditional,5418,Chapel Hill Rd,Raleigh,27607,N/A,http://www.wcpss.net/mtvernonms,6,Special / Optional Schools
2156402.672518149018288,801114.976373881101608,98,453,Jones Dairy Elementary,Elementary,919-562-6181,Year-Round,1100,Jones Dairy Rd,Wake Forest,27587,N/A,http://www.wcpss.net/jonesdairyes,1,Elementary Schools
2127865.240091815590858,798903.703893542289734,99,593,Wakefield Elementary,Elementary,919-562-3555,Traditional,2400,Wakefield Pines Dr,Raleigh,27614,N/A,http://www.wcpss.net/wakefieldes,3,Elementary Schools
2127447.778656393289566,799432.386563211679459,100,594,Wakefield Middle,Middle,919-562-3500,Traditional,2300,Wakefield Pines Dr,Raleigh,27614,N/A,http://www.wcpss.net/wakefieldms,3,Middle School
2127144.624078974127769,800114.18670879304409,101,595,Wakefield High,High,919-562-3600,Traditional,2200,Wakefield Pines Dr,Raleigh,27614,N/A,http://www.wcpss.net/wakefieldhs,3,High School
2105506.189009472727776,766127.964655131101608,102,440,Green Elementary,Elementary,919-431-8141,Traditional,5307,Six Forks Rd,Raleigh,27609,Leadership and World Languages,http://www.wcpss.net/greenes,6,Magnet Elementary School
2155165.320662140846252,750508.149766221642494,103,466,Knightdale High,High,919-217-5350,Traditional,100,Bryan Chalk Ln,Knightdale,27545,N/A,http://www.wcpss.net/knightdalehs,1,High School
2153632.344725474715233,750193.166144207119942,104,413,Forestville Road Elementary,Elementary,919-266-8487,Traditional,100,Lawson Ridge Rd,Knightdale,27545,N/A,http://www.wcpss.net/forestvilleroades,1,Elementary Schools
2039548.878995224833488,751369.556507959961891,105,358,Carpenter Elementary,Elementary, 919-462-6780,Year-Round,2100,Morrisville Pkwy,Cary,27519,N/A,http://www.wcpss.net/carpenteres,7,Elementary Schools
2068617.390411898493767,750810.225933715701103,106,542,Reedy Creek Elementary,Elementary,919-380-3660,Traditional,940,Reedy Creek Rd,Cary,27513,N/A,http://www.wcpss.net/reedycreekes,9,Elementary Schools
2069512.236719310283661,750851.011285215616226,107,400,Reedy Creek Middle,Middle,919-460-3504,Traditional,930,Reedy Creek Rd,Cary,27513,Center for Digital Sciences,http://www.wcpss.net/reedycreekms,9,Magnet Middle School
2144588.598049223423004,773109.916570469737053,108,451,Harris Creek Elementary,Elementary,919-217-5100,Year-Round,3829,Forestville Rd,Raleigh,27616,N/A,http://www.wcpss.net/harriscreekes,1,Elementary Schools
2081641.149797394871712,729007.41816146671772,109,394,Dillard Drive Middle,Middle,919-233-4228,Traditional,5200,Dillard Dr,Raleigh,27606,N/A,http://www.wcpss.net/dillarddrivems,5,Middle School
2082194.498756319284439,728845.389286041259766,110,393,Dillard Drive Elementary,Elementary,919-233-4200,Traditional,5018,Dillard Dr,Raleigh,27606,N/A,http://www.wcpss.net/dillarddrivees,5,Elementary Schools
2078130.002292141318321,728983.238747879862785,111,003,Harriet B Webster At Crossroads II Adm,Administrative,919-431-7400, ,110,Corning Rd,Cary,27518,N/A, ,9,Administration
2126407.6216159760952,767348.740428790450096,112,221,Spring Forest Road Modular Site,U, , ,3851,Spring Forest Rd,Raleigh,27616,N/A, ,1,Future Sites
2122947.182342648506165,710633.595001041889191,113,404,East Garner Middle,Middle,919-662-2339,Traditional,6301,Jones Sausage Rd,Garner,27529,International Baccalaureate Programme,http://www.wcpss.net/eastgarnerms,2,Magnet Middle School
2122683.307542309165001,712718.688927963376045,114,403,East Garner Elementary,Elementary,919-773-7411,Modified,5545,Jones Sausage Rd,Garner,27529,N/A,http://www.wcpss.net/eastgarneres,2,Elementary Schools
2134179.029301479458809,802441.523917630314827,115,514,North Forest Pines Elementary,Elementary,919-570-2220,Year-Round,11501,Forest Pines Dr,Raleigh,27614,N/A,http://www.wcpss.net/northforestpineses,3,Elementary Schools
2130989.395916983485222,745453.902328804135323,116,438,River Oaks Middle,Middle,919-231-5600,Traditional,4700,New Bern Ave,Raleigh,27610,N/A,http://www.wcpss.net/riveroaksms,4,Special / Optional Schools
2141612.816271141171455,737853.637345626950264,117,446,Hodge Road Elementary,Elementary,919-266-8599,"Year-Round, Track 4 Only",2128,Mingo Bluff Blvd,Knightdale,27545,Spanish Dual Language Immersion,http://www.wcpss.net/hodgeroades,4,Magnet Elementary School
2056564.563139647245407,669683.267124965786934,118,476,Lincoln Heights Elementary,Elementary,919-557-2587,Traditional,307,Bridge St,Fuquay-Varina,27526,Environmental Connections,http://www.wcpss.net/lincolnheightses,2,Magnet Elementary School
2071531.985304474830627,699085.900904878973961,119,494,Middle Creek Elementary,Elementary,919-773-9555,Year-Round,110,Middle Creek Park Ave,Apex,27539,N/A,http://www.wcpss.net/middlecreekes,5,Elementary Schools
2133163.288878902792931,721597.272548720240593,120,329,Barwell Road Elementary,Elementary,919-661-5405,"Year-Round, Track 4 Only",3925,Barwell Rd,Raleigh,27610,N/A,http://www.wcpss.net/barwellroades,2,Elementary Schools
2068143.100349977612495,678328.602196469902992,121,327,Ballentine Elementary,Elementary,919-557-1120,Year-Round,1651,N  McLaurin Ln,Fuquay-Varina,27526,N/A,http://www.wcpss.net/ballentinees,2,Elementary Schools
2072209.06761172413826,674533.458540052175522,122,420,Fuquay-Varina Elementary,Elementary,919-557-2566,Traditional,6600,Johnson Pond Rd,Fuquay-Varina,27526,N/A,http://www.wcpss.net/fuquayvarinaes,2,Elementary Schools
2118467.409478068351746,715373.173776462674141,123,384,Creech Road Elementary,Elementary,919-662-2359,Traditional,450,Creech Rd,Garner,27529,N/A,http://www.wcpss.net/creechroades,2,Elementary Schools
2102812.944067895412445,714240.324008047580719,124,560,Smith Elementary,Elementary,919-662-2458,Traditional,1101,Maxwell Dr,Raleigh,27603,International Baccalaureate Programme,http://www.wcpss.net/smithes,2,Magnet Elementary School
2060313.77381706237793,715701.733158707618713,125,530,Penny Road Elementary,Elementary,919-387-2136,Traditional,10900,Penny Rd,Cary,27518,N/A,http://www.wcpss.net/pennyroades,8,Elementary Schools
2133894.596143305301666,802081.090255305171013,126,417,Forest Pines Drive Elementary,Elementary,919-562-6262,Traditional,11455,Forest Pines Dr,Raleigh,27614,N/A,http://www.wcpss.net/forestpinesdrivees,3,Elementary Schools
2111365.664167150855064,729886.41935621201992,127,416,Fuller Elementary,Elementary,919-856-7625,Traditional,806,Calloway Dr,Raleigh,27610,AIG Basics Program - Wake County AIG Identification Required,http://www.wcpss.net/fulleres,4,Magnet Elementary School
2111905.339268893003464,737031.248570457100868,128,448,Hunter Elementary,Elementary,919-856-7676,Traditional,1018,E Davie St,Raleigh,27601,AIG Basics Program - Wake County AIG Identification Required,http://www.wcpss.net/hunteres,4,Magnet Elementary School
2108119.589294478297234,706310.002270296216011,129,570,Timber Drive Elementary,Elementary,919-773-9500,"Year-Round, Track 4 Only",1601,Timber Dr,Garner,27529,N/A,http://www.wcpss.net/timberdrivees,2,Elementary Schools
2051043.986582398414612,693682.67877171933651,130,447,Holly Springs Elementary,Elementary,919-557-2660,Year-Round,401,Holly Springs Rd,Holly Springs,27540,N/A,http://www.wcpss.net/hollyspringses,8,Elementary Schools
2108225.97097148001194,713828.836970135569572,131,436,Garner High,High,919-662-2379,Traditional,2101,Spring Dr,Garner,27529,International Baccalaureate Programme,http://www.wcpss.net/garnerhs,2,Magnet High School
2054422.892554223537445,693072.348627552390099,132,449,Holly Ridge Elementary,Elementary,919-577-1300,Traditional,900,Holly Springs Rd,Holly Springs,27540,N/A,http://www.wcpss.net/hollyridgees,8,Elementary Schools
