OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
3031,04092020964,Food Lion #1481 Deli ,7713 LEAD MINE RD ,,RALEIGH,,27615-4805,(919) 518-1607,2000-07-01T00:00:00.000Z,Food Stand,793,-78.66044244,35.88617531,T
3032,04092015871,IMPERIAL GARDEN CHINESE RESTAURANT,7713 LEAD MINE RD ,STE 15,RALEIGH,,27615-4805,(919) 846-1988,2011-01-27T00:00:00.000Z,Restaurant,16235,-78.66044244,35.88617531,T
3033,04092300148,Food Lion #1481 Meat Market ,7713 LEAD MINE RD ,,RALEIGH,,27615-4805,(919) 518-1607,2000-07-01T00:00:00.000Z,Meat Market,893,-78.66044244,35.88617531,T
3034,04092013106,Sawmill Tap Room,7701 LEAD MINE RD,,RALEIGH,,27615-4829,(919) 845-7889,2000-01-14T00:00:00.000Z,Restaurant,19193,-78.66032463,35.88500866,M
3035,04092050011,Ravenscroft School Dining,7409 FALLS OF NEUSE RD,,RALEIGH,,27615-5316,(919) 847-0900 ext. 2237,1993-11-10T00:00:00.000Z,Private School Lunchrooms,7432,-78.63135227,35.88450956,M
3036,04092110537,North Ridge Elementary School Cafeteria,7120 HARPS MILL RD,,RALEIGH,,27615-5322,,2019-08-14T00:00:00.000Z,Public School Lunchrooms,13740,-78.62266331,35.88122394,M
3037,04092017103,CHICK-FIL-A #792,6701 FALLS OF NEUSE RD ,,RALEIGH,,27615-5373,,2015-12-07T00:00:00.000Z,Restaurant,16876,-78.62404244,35.87534331,M
3038,04092021670,DOMINO'S #5504,7315 SIX FORKS RD,,RALEIGH,,27615-6162,(919) 847-8855,2011-04-27T00:00:00.000Z,Food Stand,4789,-78.64725808,35.88069032,M
3039,04092012304,Tokyo House,7439 SIX FORKS RD ,,RALEIGH,,27615-6164,(919) 848-3350,1998-09-22T00:00:00.000Z,Restaurant,865,-78.64725808,35.88069032,M
3040,04092010075,Boondinis,7403 SIX FORKS RD,,RALEIGH,,27615-6164,(919) 848-2487,1991-04-29T00:00:00.000Z,Restaurant,9380,-78.64725808,35.88069032,M
3041,04092010827,Winston`s Grille,6401 FALLS OF NEUSE RD ,,RALEIGH,,27615-6812,(919) 790-0700,1991-05-08T00:00:00.000Z,Restaurant,105,-78.62163029,35.86964663,M
3042,04092021056,Cook Out #13,6505 FALLS OF NEUSE RD ,,RALEIGH,,27615-6814,(919) 862-8830,2001-02-23T00:00:00.000Z,Food Stand,1875,-78.62236608,35.87164952,M
3043,04092110057,Millbrook Sr. High Cafeteria,2201 SPRING FOREST RD ,,RALEIGH,,27615-7536,(919) 850-8796,1991-09-17T00:00:00.000Z,Public School Lunchrooms,20202,-78.60300107,35.86585561,M
3044,04092010302,GOODBERRY'S #6,2421 Spring Forest Rd,,RALEIGH,,27615-7540,(919) 878-8159,1991-05-02T00:00:00.000Z,Restaurant,5043,-78.59868826,35.86084859,M
3045,04092110460,Harris Creek Elem. School Lunchroom,3829 Forestville RD ,,RALEIGH,,27616,(919) 217-5100 ext. 24410,2006-08-18T00:00:00.000Z,Public School Lunchrooms,13371,-78.51201394,35.87304102,M
3046,04092017683,Wayback Burgers,6320-116 Capital BLVD ,,,,27616,(919) 977-4444,2017-09-19T00:00:00.000Z,Restaurant,10405,-78.58011487,35.87107689,M
3047,04092018120,Marco's Pizza #8486,7500 RAMBLE WAY,,RALEIGH,,27616,(919) 825-1812,2019-06-26T00:00:00.000Z,Restaurant,13271,-78.537511,35.87630713,M
3048,04092016070,BIG AL'S BBQ,2920 FORESTVILLE  RD ,STE 150,RALEIGH,,27616,(919) 217-0653,2011-12-16T00:00:00.000Z,Restaurant,5381,-78.50930992,35.89359383,M
3049,04092015870,MCDONALD'S #32956,8031 OLD WAKE FOREST RD ,@ WALMART,RALEIGH,,27616,(919) 878-7173,2011-01-20T00:00:00.000Z,Restaurant,17615,-78.56666533,35.86809107,M
3050,04092017159,ARBY'S #6151,6308  CAPITAL BLVD ,,RALEIGH,,27616,(919) 954-6185,2016-02-23T00:00:00.000Z,Restaurant,10432,-78.57917753,35.87164303,M
3051,04092021860,LOWES FOODS #226 BEEF SHOP,8440 LOUISBURG RD ,,RALEIGH,,27616,(919) 266-1031,2015-07-23T00:00:00.000Z,Food Stand,12286,-78.50930992,35.89359383,M
3052,04092014448,Fu Kee Express,6320 Capital Blv,,RALEIGH,,27616,(919) 872-2661,2005-12-01T00:00:00.000Z,Restaurant,7168,-78.57847002,35.87073633,M
3053,04092017810,Cafe Capistrano,"8471   Garvey  St, Ste 113",,,,27616,(919) 872-1127,2018-03-23T00:00:00.000Z,Restaurant,11571,-78.56786149,35.89607573,M
3054,04092016883,HAMPTON INN & SUITES,3621 SPRING FOREST ROAD,,RALEIGH,,27616,(919) 872-7111,2015-03-06T00:00:00.000Z,Restaurant,18218,-78.57895585,35.85595204,M
3055,04092110482,EAST MILLBROOK MIDDLE SCHOOL CAFETERIA,3801 SPRING FOREST RD ,,RALEIGH,,27616,(919) 850-8755 ext. 27354,2009-08-14T00:00:00.000Z,Public School Lunchrooms,19170,-78.57481627,35.85784609,M
3056,04092018031,EURO CAFE,"5959 TRIANGLE TOWN BLVD, STE 2087",,RALEIGH,,27616,(919) 300-0041,2019-01-22T00:00:00.000Z,Restaurant,11810,-78.57603863,35.86599856,M
3057,04092015099,Subway #41217,8410-140 Louisburg RD ,,,,27616,(919) 266-0300,2008-03-25T00:00:00.000Z,Restaurant,19207,-78.51125194,35.89400635,M
3058,04092017012,CAROLINA SUSHI & ROLL,5951-107 POYNER VILLAGE PKY ,,,,27616,(919) 981-5835,2015-08-28T00:00:00.000Z,Restaurant,20049,-78.57030208,35.86511564,M
3059,04092022031,CARVEL,5959 TRIANGLE TOWN BLVD ,,RALEIGH,,27616,(919) 449-0072,2017-08-30T00:00:00.000Z,Food Stand,19464,-78.57603863,35.86599856,M
3060,04092015181,JUMBO CHINA,3111 LELAND DR ,STE 100,RALEIGH,,27616,(919) 266-2388,2008-07-24T00:00:00.000Z,Restaurant,1755,-78.50930992,35.89359383,M
3061,04092160043,Universal Health Care Of N.Ral Foodservice,5201 Clarks Fork Dr,,RALEIGH,,27616,(919) 872-7033,2003-07-10T00:00:00.000Z,Institutional Food Service,1540,-78.55549738,35.89053464,M
3062,04092015648,JAMAICAN GRILLE,5500 Atlantic Springs  RD ,STE 109,RALEIGH,,27616,(919) 873-0200,2010-06-18T00:00:00.000Z,Restaurant,7095,-78.59668856,35.85752531,M
3063,04092021912,FOOD LION #1079 PRODUCE,5621 LOUISBURG RD ,,RALEIGH,,27616,(919) 981-0402,2015-11-18T00:00:00.000Z,Food Stand,17687,-78.55796888,35.85459972,M
3064,04092016510,COURTYARD BISTRO,3401 SUMNER BLVD ,,RALEIGH,,27616,(919) 645-0088,2013-09-19T00:00:00.000Z,Restaurant,4875,-78.58017989,35.86693412,M
3065,04092013752,Chili`s Bar and Grill,3411 Sumner Blv ,,RALEIGH,,27616,(919) 792-2545,2003-01-03T00:00:00.000Z,Restaurant,1427,-78.57603863,35.86599856,M
3066,04092021744,LITTLE TOKYO,5959 TRIANGLE TOWN BLVD ,FC 1132,RALEIGH,,27616,(919) 792-0111,2013-05-28T00:00:00.000Z,Food Stand,19553,-78.57603863,35.86599856,M
3067,04092021091,BJ`s Warehouse Club #123 (Foodstand - MM Area),8811 Brier Creek Pky ,,RALEIGH,,27616,(919) 806-5000,2001-09-07T00:00:00.000Z,Food Stand,1005,-78.78753116,35.90154813,M
3068,04092021475,Lowes Foods #226 Produce,8440 louisburg rd ,,RALEIGH,,27616,(919) 866-1031,2007-09-14T00:00:00.000Z,Food Stand,19772,-78.50930992,35.89359383,M
3069,04092013646,Barnes & Noble Book Sellers #2126,5959 Triangle Town Blv, Ste 2107,RALEIGH,,27616,(919) 792-2140,2002-08-13T00:00:00.000Z,Restaurant,721,-78.57603863,35.86599856,M
3070,04092017757,Michael's English Muffins,3611-114 Spring Forest RD ,,,,27616,(919) 615-0319,2017-12-15T00:00:00.000Z,Restaurant,19805,-78.57985951,35.8552556,M
3071,04092016895,FIRST WATCH #517,6320-130 CAPITAL BLVD.,,,,27616,(919) 900-8355,2015-03-20T00:00:00.000Z,Restaurant,19919,-78.58011487,35.87107689,M
3072,04092016508,PETRA  GRILL,6091 CAPITAL BLVD ,,RALEIGH,,27616,(984) 200-2009,2013-09-13T00:00:00.000Z,Restaurant,16585,-78.58309511,35.86882022,M
3073,04092025263,Oriental Pho,5959 TRIANGLE TOWN BLVD,1116,RALEIGH,,27616,(919) 449-0807,2019-06-12T00:00:00.000Z,Restaurant,16558,-78.57603863,35.86599856,M
3074,04092110476,RIVER BEND ELEMENTARY CAFETERIA,6710 PERRY CREEK RD ,,RALEIGH,,27616,(919) 431-8010 ext. 25509,2008-12-03T00:00:00.000Z,Public School Lunchrooms,11793,-78.53592651,35.86465714,M
3075,04092017700,Fairfield Inn &  Suites Kitchen,6408 Capital BLVD ,,RALEIGH,,27616,(919) 878-1120,2017-10-19T00:00:00.000Z,Restaurant,12505,-78.57841709,35.87180791,M
3076,04092050025,North Raleigh Christian Academy School Lunchroom,7300 Perry Creek Rd,,RALEIGH,,27616,(919) 573-7900,2004-03-11T00:00:00.000Z,Private School Lunchrooms,6308,-78.54259351,35.88061452,M
3077,04092017645,Harris Teeter #304 Wine Bar,4221 Corners PKY ,,RALEIGH,,27616,(919) 596-5399,2017-07-13T00:00:00.000Z,Restaurant,9761,-78.78791806,35.91890975,M
3078,04092021216,Super Target Store T1826 (Deli),7900 Old Wake Forest Rd,,RALEIGH,,27616,(919) 790-1024,2003-09-03T00:00:00.000Z,Food Stand,8017,-78.56814184,35.8662603,M
3079,04092013894,Super Target Store T1826 (Food Ave),7900 Old Wake Forest Rd ,,RALEIGH,,27616,(919) 790-1024,2003-09-03T00:00:00.000Z,Restaurant,4236,-78.56814184,35.8662603,M
3080,04092022019,Harris Teeter #304 Starbucks,4221 Corners PKY ,,RALEIGH,,27616,(919) 596-5399,2017-07-13T00:00:00.000Z,Food Stand,8406,-78.78791806,35.91890975,M
3081,04092015715,MCDONALD`S #7811,6250 CAPITAL BLVD ,,RALEIGH,,27616,(919) 878-5907,2010-09-09T00:00:00.000Z,Restaurant,6301,-78.58011489,35.87020114,M
3082,04092017608,FOGATA BRAVA MEXICAN RESTURANT,3351 CYPRESS PLANTATION TRL ,,RALEIGH,,27616,(919) 977-0168,2017-05-23T00:00:00.000Z,Restaurant,16928,-78.58237548,35.87315637,M
3083,04092014261,Sheetz #361,4801 Thorton RD,,,,27616,(919) 862-0904,2005-03-02T00:00:00.000Z,Restaurant,8427,-78.55822088,35.89881867,M
3084,04092015374,SHANE`S RIB SHACK #55,5811 POYNER VILLAGE PKY ,SUITE 101,RALEIGH,,27616,(919) 850-9900,2009-04-15T00:00:00.000Z,Restaurant,14383,-78.56916648,35.86464286,M
3085,04092015308,HILTON GARDEN INN RESTAURANT,6412 CAPITAL  BLVD ,,RALEIGH,,27616,(919) 876-5650,2008-12-19T00:00:00.000Z,Restaurant,16277,-78.57788965,35.87240322,M
3086,04092017646,SAN JUAN MEXICAN RESTAURANT ,3501 FORESTVILLE RD ,,RALEIGH,,27616,(919) 217-7918,2017-07-26T00:00:00.000Z,Restaurant,8517,-78.50942512,35.88257697,M
3087,04092015532,CRAZY FIRE MONGOLIAN GRILL,3611 SPRING FOREST RD ,STE. 100,RALEIGH,,27616,(919) 872-3575,2009-12-16T00:00:00.000Z,Restaurant,16183,-78.57981091,35.85591049,M
3088,04092016677,MONA PITA MEDITERRANEAN GRILL,5260 CAPITAL BLVD ,SUITE 101,RALEIGH,,27616,(919) 431-6500,2014-04-22T00:00:00.000Z,Restaurant,16988,-78.580183,35.85814638,M
3089,04092017598,MCALISTERS DELI #100956,5505-104 CAPITAL BLVD ,,,,27616,(919) 900-7846,2017-05-12T00:00:00.000Z,Restaurant,7783,-78.58184894,35.86077805,M
3090,04092025248,Steve's Place,6320 Capital  BLVD ,,RALEIGH,,27616,(919) 872-2222,2019-05-01T00:00:00.000Z,Food Stand,10574,-78.57847002,35.87073633,M
3091,04092030345,MR. PUEBLA TACOS (WCID #603),6925 OLD WAKE FOREST RD ,,RALEIGH,,27616,(919) 208-3730,2017-08-18T00:00:00.000Z,Mobile Food Units,14327,-78.58556165,35.86996942,M
3092,04092015676,ROADRUNNERS PIZZA,8420-120 LOUISBURG RD ,,,,27616,(919) 266-7606,2010-07-23T00:00:00.000Z,Restaurant,9898,-78.51092096,35.89413592,M
3093,04092030205,BIG AL`S BBQ & CATERING SERVICES (WCID #351),2920  Forestville RD ,Suite 150,RALEIGH,,27616,(919) 217-0653,2009-02-03T00:00:00.000Z,Mobile Food Units,10629,-78.50930992,35.89359383,M
3094,04092021477,Lowes Foods #226 Deli,8440 louisburg rd,,RALEIGH,,27616,(919) 266-1031,2007-09-14T00:00:00.000Z,Food Stand,16136,-78.50930992,35.89359383,M
3095,04092017784,NY Bagel Deli & Cafe,7500-111 Ramble WAY ,,,,27616,(984) 200-2603,2018-01-20T00:00:00.000Z,Restaurant,17029,-78.53897134,35.87498247,M
3096,04092300280,THE KOLA NUT,5540-105 ATLANTIC SPRINGS  RD ,,,,27616,(919) 977-6747,2017-03-27T00:00:00.000Z,Meat Market,20484,-78.59664816,35.85828657,M
3097,04092300271,PETRA SUPERMARKET,6089 CAPITAL BLVD ,,RALEIGH,,27616,(919) 876-8230,2015-10-05T00:00:00.000Z,Meat Market,9958,-78.58309511,35.86882022,M
3098,04092300277,CARNICERIA LA HACIENDA,5440-114 ATLANTIC SPRINGS RD ,,,,27616,(984) 200-1151,2017-01-23T00:00:00.000Z,Meat Market,15966,-78.59773285,35.85673584,M
3099,04092030333,DON BELL'S GRILL HOUSE (WCID # 606),4820 LANDOVER ARBOR PL ,,RALEIGH,,27616,(919) 266-4858,2017-06-05T00:00:00.000Z,Mobile Food Units,20599,-78.52358738,35.85256827,M
3100,04092025163,Rocky Top Catering,500 Departure DR ,,,,27616,(919) 829-3771,2018-02-27T00:00:00.000Z,Food Stand,7589,0,0,U
3101,04092022022,Harris Teeter #304 Deli/Bakery,4221 Corners PKY ,,RALEIGH,,27616,(919) 596-5399,2017-07-13T00:00:00.000Z,Food Stand,10028,-78.78791806,35.91890975,M
3102,04092021984,SPEEDY BURRITOS,5959-1100 TRIANGLE TOWN BLVD ,,,,27616,(919) 792-2923,2016-10-05T00:00:00.000Z,Food Stand,15806,-78.57159163,35.86546307,M
3103,04092016694,STARBUCKS #21218,5100 CAPITAL BLVD ,,RALEIGH,,27616,(919) 713-2135,2014-05-21T00:00:00.000Z,Restaurant,14924,-78.58044824,35.85561749,M
3104,04092017523,SHEETZ #620,7513 RAMBLE WAY ,,RALEIGH,,27616,(919) 239-4746,2017-02-09T00:00:00.000Z,Restaurant,14242,-78.53896226,35.87590197,M
3105,04092017957,"Swahili Grill;",3721 Sumner BLVD ,Ste. 100,RALEIGH,,27616,(919) 917-5616,2018-10-10T00:00:00.000Z,Restaurant,11876,-78.57603863,35.86599856,M
3106,04092021344,Lowes Foods #224 Deli,8100 Brier Creek PKY ,,RALEIGH,,27616,(919) 293-0294,2005-08-15T00:00:00.000Z,Food Stand,14872,-78.78577668,35.91011447,M
3107,04092016144,PANERA BREAD #1648,6123 CAPITAL BLVD ,,RALEIGH,,27616,(919) 865-1965,2012-03-28T00:00:00.000Z,Restaurant,14235,-78.58309511,35.86882022,M
3108,04092017674,SERGIO'S PIZZA,7440 LOUISBURG RD ,STE 135,RALEIGH,,27616,(919) 876-3116,2017-08-31T00:00:00.000Z,Restaurant,15800,-78.53977,35.87454018,M
3109,04092021750,CHARLEY'S PHILLY STEAKS # 789,5959 TRIANGLE TOWN  BLVD ,STE 1124,RALEIGH,,27616,(919) 792-2206,2013-08-07T00:00:00.000Z,Food Stand,20948,-78.57603863,35.86599856,M
3110,04092025182,Sbarro #1097,5959 Triangle Town BLVD ,,RALEIGH,,27616,(919) 299-9503,2018-05-25T00:00:00.000Z,Food Stand,20956,-78.57603863,35.86599856,M
3111,04092110519,RIVER BEND MIDDLE SCHOOL CAFETERIA,6620 PERRY CREEK RD ,,,,27616,(919) 694-8690,2017-06-23T00:00:00.000Z,Public School Lunchrooms,20962,-78.5367644,35.86154762,M
3112,04092014288,Stromboli`s,2900 Spring Forest Rd,,RALEIGH,,27616,(919) 876-4222,2005-03-30T00:00:00.000Z,Restaurant,15700,-78.59114174,35.85495156,M
3113,04092016636,TORERO'S MEXICAN RESTAURANT,3002 LELAND DR ,,RALEIGH,,27616,(919) 217-7883,2014-02-28T00:00:00.000Z,Restaurant,21005,-78.51241088,35.89258287,M
3114,04092022021,Harris Teeter #304 Produce,4221 Corners PKY ,,RALEIGH,,27616,(919) 596-5399,2017-07-13T00:00:00.000Z,Food Stand,15599,-78.78791806,35.91890975,M
3115,04092016702,China Wok,7440-143 Louisburg RD ,,,,27616,(919) 862-9898,2014-05-28T00:00:00.000Z,Restaurant,21048,-78.54049905,35.87559319,M
3116,04092016861,CHIPOTLE #2386,6081  CAPITAL  BLVD ,,RALEIGH,,27616,(919) 322-3259,2015-01-13T00:00:00.000Z,Restaurant,21098,-78.58309511,35.86882022,M
3117,04092015296,ROMANOS MACARONI GRILL,3421 SUMNER BLVD ,,RALEIGH,,27616,(919) 792-2515,2008-12-03T00:00:00.000Z,Restaurant,15460,-78.57603863,35.86599856,M
3118,04092013481,McDonald`s #26522,5016-101 Spring Forest Rd,,,,27616,(919) 954-8880,2001-12-20T00:00:00.000Z,Restaurant,323,-78.55683715,35.85595019,M
3119,04092017526,TACO BELL #320555,8470 LOUISBURG RD ,,RALEIGH,,27616,(919) 703-0259,2017-02-17T00:00:00.000Z,Restaurant,7321,-78.50930992,35.89359383,M
3120,04092018158,Dunkin Donuts #349131,8401 Capital  BLVD ,,RALEIGH,,27616,(919) 521-4960,2019-08-27T00:00:00.000Z,Restaurant,21275,-78.5598497,35.89383244,M
3121,04092021754,TEAM BEVERAGE,6901 LOUISBURG  RD ,,RALEIGH,,27616,(919) 876-4400,2013-08-27T00:00:00.000Z,Food Stand,9304,-78.5458904,35.86930778,M
3122,04092017821,"Hwy. 55 Burgers, Shakes & Fries #185",8450 Louisburg RD ,Suite 110,RALEIGH,,27616,(919) 373-8807,2018-04-06T00:00:00.000Z,Restaurant,10258,-78.50930992,35.89359383,M
3123,04092022020,Harris Teeter #304 Meat/Seafood,4221 Corners PKY ,,RALEIGH,,27616,(919) 596-5399,2017-07-13T00:00:00.000Z,Food Stand,9308,-78.78791806,35.91890975,M
3124,04092014407,Subway,6320 Capital Blvd,,RALEIGH,,27616,(919) 878-1777,2005-09-28T00:00:00.000Z,Restaurant,15367,-78.57847002,35.87073633,M
3125,04092018085,Treeo Senior Living Foodservice,2722 Spring Forest RD ,,RALEIGH,,27616,(919) 863-7770,2019-04-05T00:00:00.000Z,Restaurant,18102,-78.59543318,35.85753852,M
3126,04092021647,WALMART #4484 DELI,8031 OLD WAKE FOREST RD ,,RALEIGH,,27616,(919) 424-6235,2011-01-20T00:00:00.000Z,Food Stand,21412,-78.56666533,35.86809107,M
3127,04092021343,Lowes Foods #224 Beef Shop,8100 Brier Creek PKY ,,RALEIGH,,27616,(336) 659-0180,2005-08-15T00:00:00.000Z,Food Stand,5996,-78.78577668,35.91011447,M
3128,04092021142,Sino Wok,5959-1108 Triangle Town Blv ,,,,27616,(919) 792-2499,2002-08-19T00:00:00.000Z,Food Stand,14664,-78.57159163,35.86546307,M
3129,04092021874,CHICK-FIL-A #1466,5959 TRIANGLE TOWN BLVD ,FC 1104,RALEIGH,,27616,(919) 792-2214,2015-09-15T00:00:00.000Z,Food Stand,18485,-78.57603863,35.86599856,M
3130,04092021348,Lowes Foods #224 Produce,8100 Brier Creek PKY ,,RALEIGH,,27616,(919) 293-0294,2005-08-15T00:00:00.000Z,Food Stand,5995,-78.78577668,35.91011447,M
3131,04092021893,FOOD LION #1654 PRODUCE,7440 LOUISBURG RD ,,RALEIGH,,27616,(919) 875-1394,2015-10-21T00:00:00.000Z,Food Stand,18125,-78.53977,35.87454018,M
3132,04092016983,BAR LOUIE,8401 BRIER CREEK PKY ,,RALEIGH,,27616,(919) 908-2530,2015-07-24T00:00:00.000Z,Restaurant,16683,-78.78506033,35.90721817,M
3133,04092021415,BJ's Membership Club #177 Deli/Meat Market,6301 Triangle Plantation DR ,,RALEIGH,,27616,(919) 278-1000,2006-10-25T00:00:00.000Z,Food Stand,14083,-78.58237548,35.87315637,M
3134,04092017754,Red Bowl Asian Bistro,6360 PLANTATION CENTER  DR ,,RALEIGH,,27616,(919) 790-9222,2017-12-14T00:00:00.000Z,Restaurant,10844,-78.58237548,35.87315637,M
3135,04092017834,Pho Super 9,6401 Triangle Plantation DR ,Ste 111,RALEIGH,,27616,(919) 878-1599,2018-05-03T00:00:00.000Z,Restaurant,6627,-78.58237548,35.87315637,M
3136,04092017251,FIVE GUYS #1784,5501-106 CAPITAL BLVD ,,,,27616,(984) 232-0547,2016-06-28T00:00:00.000Z,Restaurant,18540,-78.58184125,35.86070377,M
3137,04092015091,BRUEGGERS BAGELS #101,2231 AVENT FERRY RD ,,RALEIGH,,27616,(919) 828-1416,2008-04-03T00:00:00.000Z,Restaurant,10944,-78.67605091,35.77835817,M
3138,04092110528,Swing Space - North Ridge Elementary School Cafeteria,3851 Spring Forest RD ,,RALEIGH,,27616,(919) 870-4100 ext. 26819,2018-08-20T00:00:00.000Z,Public School Lunchrooms,18564,-78.57481627,35.85784609,M
